permutation	qualifying_units	median_variance
750	74	482.01666666666665
751	75	991.5833333333334
752	75	967.0
753	74	1020.2916666666666
754	73	1073.5833333333333
755	75	646.3333333333334
756	74	1063.6979166666667
757	73	1031.7
758	73	991.5833333333334
759	71	967.0
760	74	1223.9333333333334
761	76	955.9791666666667
762	83	920.375
763	73	991.5833333333334
764	79	646.3333333333334
765	80	979.2916666666667
766	80	577.0166666666667
767	78	650.5041666666666
768	75	961.3333333333334
769	78	880.5458333333333
770	76	645.8333333333334
771	75	645.3333333333334
772	76	1121.8916666666667
773	73	824.9166666666666
774	80	979.2916666666667
775	73	967.0
776	77	1073.5833333333333
777	69	967.0
778	73	683.675
779	72	1063.6979166666667
780	77	920.375
781	81	991.5833333333334
782	77	920.375
783	76	956.3125
784	77	1031.7
785	81	936.175
786	78	1011.6416666666667
787	79	735.0
788	77	683.675
789	78	1121.8916666666667
790	75	456.3333333333333
791	79	967.0
792	77	507.7
793	72	1120.3916666666667
794	72	1177.8916666666667
795	72	664.5041666666666
796	75	683.675
797	76	979.2916666666667
798	73	683.675
799	77	967.0
800	74	992.2916666666667
801	78	672.3375
802	76	806.6666666666667
803	77	961.3333333333334
804	73	909.6666666666666
805	77	1106.5833333333333
806	79	1059.2
807	76	979.2916666666667
808	82	895.9583333333333
809	74	979.2916666666667
810	68	825.3375
811	77	545.0833333333334
812	77	1073.0833333333333
813	73	682.5833333333334
814	75	1073.5833333333333
815	81	646.3333333333334
816	77	1031.7
817	70	1510.8166666666666
818	72	955.9791666666667
819	78	1120.3916666666667
820	72	1032.5833333333333
821	74	992.2916666666667
822	80	665.0041666666666
823	74	979.2916666666667
824	79	507.7
825	72	1065.65625
826	75	646.3333333333334
827	72	1071.625
828	76	1071.375
829	80	1024.65625
830	77	1073.0833333333333
831	75	824.9166666666666
832	71	507.7
833	71	920.375
834	79	683.675
835	80	754.2958333333333
836	77	545.0833333333334
837	79	991.5833333333334
838	75	1014.6666666666666
839	74	1244.7666666666667
840	79	1073.5833333333333
841	77	967.0
842	74	908.25
843	75	645.3333333333334
844	78	943.6875
845	74	1088.125
846	78	951.5875
847	77	967.0
848	74	809.925
849	69	1069.6666666666667
850	77	1106.5833333333333
851	81	1249.2
